Symbol,Trade Date,Purchase Price,Quantity,Commission
APP,20241126,334.49,1,1.000048
PLTR,20241126,64.72,9,1.000432
VST,20241126,159.75,3,1.000144
ROST,20241126,154.4,7,1.000336
TSLA,20241126,346.15,1,1.000048
AI,20241126,37.69,15,1.00072
COIN,20241126,302.8,1,1.000072
GME,20241126,30.59,16,1.000768
MARA,20241126,26.35,11,1.000528
RKLB,20241126,26.01,14,1.000672ADBE,20241126,,3,0
MCO,20241126,,6,0
BKNG,20241126,,0,0
ADBE,20241126,,3,0
MCO,20241126,,6,0
ADBE,20241126,,3,0
MCO,20241126,,6,0
ADBE,20241126,,7,0
MCO,20241126,,12,0
BKNG,20241126,,1,0
